# code	response_code	statement
Q1	1	Family is very important to me.
Q1	2	Family is rather important to me.
Q1	3	Family is not very important to me.
Q1	4	Family is not important to me.
Q2	1	Friends are very important in my life.
Q2	2	Friends are rather important to me.
Q2	3	Friends are not very important to me.
Q2	4	Friends are not important to me.
Q3	1	Leisure time is very important to me.
Q3	2	Leisure time is rather important to me.
Q3	3	Leisure time is not very important to me.
Q3	4	Leisure time is not important to me.
Q4	1	Politics is very important in my life.
Q4	2	Politics is rather important to me.
Q4	3	Politics is not very important to me.
Q4	4	Politics is not at all important to me.
Q5	1	Work is very important in my life.
Q5	2	Work is rather important to me.
Q5	3	Work is not very important to me.
Q5	4	Work is not important at all to me.
Q6	1	Religion is very important in my life.
Q6	2	Religion is rather important to me.
Q6	3	Religion is not very important to me.
Q6	4	Religion is not important to me.
Q7	1	I think good manners are important for kids to learn
Q7	2	I don't think manners are that important for kids
Q8	1	I think independence is important
Q8	2	I don't think independence is important
Q9	1	I think hard work is important for kids to learn.
Q9	2	I don't think hard work is so important for kids.
Q10	1	I think responsibility is important for kids to learn
Q10	2	I don't think responsibility is that important for kids
Q11	1	I think imagination is important for kids to learn at home.
Q11	2	I don't think imagination is so important for kids to learn at home.
Q12	1	I think tolerance is important to learn at home.
Q12	2	I don't think tolerance is so important at home.
Q13	1	I think thrift is important for kids to learn
Q13	2	I don't think thrift is so important for kids
Q14	1	I think determination is important for kids to learn.
Q14	2	I don't think determination is so important for kids.
Q15	1	I think faith is important for kids to learn at home.
Q15	2	I don't think faith is so important for kids to learn.
Q16	1	I think unselfishness is important for kids to learn
Q16	2	I don't think unselfishness is so important
Q18	1	I prefer not to live near drug addicts.
Q18	2	I don't mind living near drug addicts.
Q19	1	I prefer neighbors of the same race.
Q19	2	I'm fine with neighbors of any race.
Q20	1	I prefer not to have AIDS patients as neighbors.
Q20	2	I don't mind having AIDS patients as neighbors.
Q21	1	I prefer not to have immigrant neighbors.
Q21	2	I'm fine with immigrant neighbors.
Q23	1	I prefer neighbors of the same religion.
Q23	2	I'm fine with neighbors of any religion.
Q24	1	I prefer not to live near heavy drinkers.
Q24	2	I don't mind heavy drinkers as neighbors.
Q25	1	I prefer not to live near unmarried couples.
Q25	2	I'm okay with unmarried couples as neighbors.
Q26	1	I prefer neighbors who speak my language.
Q26	2	I'm fine with neighbors who speak differently.
Q27	1	Making my parents proud is a top goal.
Q27	2	I want to make my parents proud.
Q27	3	Making parents proud isn't a goal.
Q27	4	I don't aim to make parents proud.
Q28	1	I believe working mothers harm their children.
Q28	2	I think working mothers hurt their kids.
Q28	3	I don't think working mothers harm kids.
Q28	4	I believe working mothers don't harm kids.
Q29	1	I strongly believe men make better leaders.
Q29	2	I think men make better leaders.
Q29	3	I don't think men make better leaders.
Q29	4	I strongly believe men don't make better leaders.
Q30	1	I strongly believe a university education is more important for boys.
Q30	2	I think a university education is more important for boys.
Q30	3	I don't think university education importance differs by gender.
Q30	4	I strongly believe university education importance is equal for both genders.
Q31	1	I think men make better executives.
Q31	2	I think men are better executives.
Q31	3	I don't think men are better executives.
Q31	4	I strongly believe women are equally or better executives.
Q32	1	I find being a housewife very fulfilling.
Q32	2	I find being a housewife fulfilling.
Q32	3	I don't find being a housewife fulfilling.
Q32	4	I don't find being a housewife fulfilling at all.
Q35	1	I think unequal incomes cause problems
Q35	2	I agree unequal incomes cause problems
Q35	3	I'm neutral on income effects
Q35	4	I don't think unequal incomes cause problems
Q35	5	I strongly believe incomes don't cause problems
Q36	1	I strongly believe gay couples make great parents.
Q36	2	I believe gay couples make great parents.
Q36	3	I'm neutral on gay couples as parents.
Q36	4	I don't think gay couples make great parents.
Q36	5	I strongly doubt gay couples make great parents.
Q37	1	I strongly believe having kids is a social duty.
Q37	2	I think having kids is a social duty.
Q37	3	I'm neutral on having kids as a duty.
Q37	4	I don't think having kids is a duty.
Q37	5	I strongly disagree having kids is a duty.
Q38	1	I strongly believe I must care for my parents.
Q38	2	I believe I should care for my parents.
Q38	3	I'm neutral about caring for my parents.
Q38	4	I don't think I should care for my parents.
Q38	5	I strongly disagree with caring for my parents.
Q39	1	I think idleness breeds laziness.
Q39	2	I believe idleness can lead to laziness.
Q39	3	I'm neutral on the matter.
Q39	4	I don't think idleness causes laziness.
Q39	5	I strongly disagree idleness causes laziness.
Q40	1	I strongly believe work is a duty to society.
Q40	2	I believe work is a duty to society.
Q40	3	I'm neutral about work being a duty.
Q40	4	I don't think work is a duty.
Q40	5	I strongly disagree work is a duty.
Q41	1	I prioritize work above all else.
Q41	2	I think work should come first.
Q41	3	I'm neutral on this issue.
Q41	4	I don't think work should always come first.
Q41	5	I strongly believe spare time matters more.
Q42	1	I believe society needs radical change.
Q42	2	I support gradual societal reform.
Q42	3	I defend our current society.
Q43	1	I think less work is a good thing
Q43	2	I wouldn't mind less work
Q43	3	I think less work is a bad thing
Q44	1	I think tech advancement is a good thing.
Q44	2	I don't mind more tech development.
Q44	3	I think tech advancement is a bad thing.
Q45	1	I think tech advancement is a good thing.
Q45	2	I don't mind more tech development.
Q45	3	I think tech advancement is a bad thing.
Q46	1	I am very happy
Q46	2	I am quite happy
Q46	3	I am not very happy
Q46	4	I am not at all happy
Q47	1	I'm in very good health.
Q47	2	I'm in good health.
Q47	3	My health is fair.
Q47	4	I'm in poor health.
Q47	5	I'm in very poor health.
Q48	1	I have no freedom of choice
Q48	2	I have no freedom of choice
Q48	3	I have a little control
Q48	4	I have a little control
Q48	5	I have some control
Q48	6	I have some control
Q48	7	I have a lot of control
Q48	8	I have a lot of control
Q48	9	I have a great deal of control
Q48	10	I have a great deal of control
Q49	1	I'm completely dissatisfied with my life.
Q49	2	I'm very dissatisfied with my life.
Q49	3	I'm fairly dissatisfied with my life.
Q49	4	I'm fairly dissatisfied with my life.
Q49	5	I'm neutral about my life.
Q49	6	I'm fairly satisfied with my life.
Q49	7	I'm fairly satisfied with my life.
Q49	8	I'm very satisfied with my life.
Q49	9	I'm very satisfied with my life.
Q49	10	I'm completely satisfied with my life.
Q50	1	I'm completely dissatisfied with my finances.
Q50	2	I'm very dissatisfied with my finances.
Q50	3	I'm fairly dissatisfied with my finances.
Q50	4	I'm fairly dissatisfied with my finances.
Q50	5	I'm neutral about my finances.
Q50	6	I'm fairly satisfied with my finances.
Q50	7	I'm fairly satisfied with my finances.
Q50	8	I'm very satisfied with my finances.
Q50	9	I'm very satisfied with my finances.
Q50	10	I'm completely satisfied with my finances.
Q51	1	I often go without enough food to eat.
Q51	2	I sometimes go without enough food.
Q51	3	I rarely go without enough food.
Q51	4	I never go without enough food.
Q52	1	I often feel unsafe from crime at home.
Q52	2	I sometimes feel unsafe from crime at home.
Q52	3	I rarely feel unsafe from crime at home.
Q52	4	I never feel unsafe from crime at home.
Q53	1	I often go without needed medicine
Q53	2	I sometimes go without needed medicine
Q53	3	I rarely go without needed medicine
Q53	4	I never go without needed medicine
Q54	1	I often go without a cash income.
Q54	2	I sometimes go without a cash income.
Q54	3	I rarely go without a cash income.
Q54	4	I never go without a cash income.
Q55	1	I often go without safe shelter.
Q55	2	I sometimes lack safe shelter.
Q55	3	I rarely lack safe shelter.
Q55	4	I never lack safe shelter.
Q56	1	I'm better off than my parents were.
Q56	2	I'm worse off than my parents.
Q56	3	I'm about the same as my parents.
Q57	1	I trust most people
Q57	2	I'm careful around others
Q58	1	I trust my family completely
Q58	2	I trust my family somewhat
Q58	3	I don't trust my family much
Q58	4	I don't trust my family at all
Q59	1	I trust my neighborhood completely
Q59	2	I trust my neighborhood somewhat
Q59	3	I do not trust my neighborhood much
Q59	4	I do not trust my neighborhood
Q60	1	I trust people I know completely.
Q60	2	I trust people I know somewhat.
Q60	3	I don't trust people I know much.
Q60	4	I don't trust people I know.
Q61	1	I trust people I meet completely.
Q61	2	I trust people somewhat.
Q61	3	I don't trust people very much.
Q61	4	I don't trust people at all.
Q62	1	I trust people of another religion completely.
Q62	2	I trust people of another religion somewhat.
Q62	3	I do not trust people of another religion very much.
Q62	4	I do not trust people of another religion at all.
Q63	1	I trust people of other nationalities completely.
Q63	2	I trust people of other nationalities somewhat.
Q63	3	I do not trust people of other nationalities very much.
Q63	4	I do not trust people of other nationalities at all.
Q64	1	I have a great deal of confidence in churches.
Q64	2	I have quite a lot of confidence in churches.
Q64	3	I have not very much confidence in churches.
Q64	4	I have no confidence in churches.
Q65	1	I have a great deal of confidence
Q65	2	I have quite a lot of confidence
Q65	3	I have not very much confidence
Q65	4	I have no confidence at all
Q66	1	I have a great deal of confidence in the press.
Q66	2	I have quite a lot of confidence in the press.
Q66	3	I have not very much confidence in the press.
Q66	4	I have no confidence in the press.
Q67	1	I have a great deal of confidence in TV.
Q67	2	I have quite a lot of confidence in TV.
Q67	3	I have not very much confidence in TV.
Q67	4	I have no confidence in TV.
Q68	1	I have a great deal of confidence in labour unions.
Q68	2	I have quite a lot of confidence in labour unions.
Q68	3	I have not very much confidence in labour unions.
Q68	4	I have no confidence in labour unions.
Q69	1	I have a great deal of confidence in police.
Q69	2	I have quite a lot of confidence in police.
Q69	3	I have not very much confidence in police.
Q69	4	I have no confidence in police.
Q70	1	I have a great deal of confidence in courts.
Q70	2	I have quite a lot of confidence in courts.
Q70	3	I have not very much confidence in courts.
Q70	4	I have no confidence in courts.
Q71	1	I have a great deal of confidence in government.
Q71	2	I have quite a lot of confidence in government.
Q71	3	I have not very much confidence in government.
Q71	4	I have no confidence in government.
Q72	1	I have a great deal of confidence in political parties.
Q72	2	I have quite a lot of confidence in parties.
Q72	3	I don't have much confidence in political parties.
Q72	4	I have no confidence in political parties.
Q74	1	I have a great deal of confidence
Q74	2	I have quite a lot of confidence
Q74	3	I have not very much confidence
Q74	4	I have no confidence at all
Q75	1	I have a great deal of confidence in universities.
Q75	2	I have quite a lot of confidence in universities.
Q75	3	I have not very much confidence in universities.
Q75	4	I have no confidence in universities.
Q76	1	I have a great deal of confidence in elections.
Q76	2	I have quite a lot of confidence in elections.
Q76	3	I have not very much confidence in elections.
Q76	4	I have no confidence in elections.
Q77	1	I have a great deal of confidence
Q77	2	I have quite a lot of confidence
Q77	3	I have not very much confidence
Q77	4	I have no confidence at all
Q78	1	I have a great deal of confidence in banks.
Q78	2	I have quite a lot of confidence in banks.
Q78	3	I have not very much confidence in banks.
Q78	4	I have no confidence in banks.
Q79	1	I have a great deal of confidence
Q79	2	I have quite a lot of confidence
Q79	3	I have not very much confidence
Q79	4	I have no confidence at all
Q80	1	I have a great deal of confidence in women's organizations.
Q80	2	I have quite a lot of confidence in women's organizations.
Q80	3	I have not very much confidence in women's organizations.
Q80	4	I have no confidence in women's organizations.
Q81	1	I have a great deal of confidence
Q81	2	I have quite a lot of confidence
Q81	3	I have not very much confidence
Q81	4	I have no confidence at all
Q82	1	I have a great deal of confidence
Q82	2	I have quite a lot of confidence
Q82	3	I have not very much confidence
Q82	4	I have no confidence at all
Q83	1	I have a great deal of confidence in the UN.
Q83	2	I have quite a lot of confidence in the UN.
Q83	3	I have not very much confidence in the UN.
Q83	4	I have no confidence in the UN.
Q84	1	I have a great deal of confidence in the IMF.
Q84	2	I have quite a lot of confidence in the IMF.
Q84	3	I have not very much confidence in the IMF.
Q84	4	I have no confidence in the IMF.
Q85	1	I have a great deal of confidence in ICC.
Q85	2	I have quite a lot of confidence in ICC.
Q85	3	I have not very much confidence in ICC.
Q85	4	I have no confidence in ICC.
Q86	1	I have a great deal of confidence in NATO.
Q86	2	I have quite a lot of confidence in NATO.
Q86	3	I have not very much confidence in NATO.
Q86	4	I have no confidence in NATO.
Q87	1	I have a great deal of confidence in the WB.
Q87	2	I have quite a lot of confidence in the WB.
Q87	3	I have not very much confidence in the WB.
Q87	4	I have no confidence in the WB.
Q88	1	I have a great deal of confidence in WHO.
Q88	2	I have quite a lot of confidence in WHO.
Q88	3	I have not very much confidence in WHO.
Q88	4	I have no confidence in WHO.
Q89	1	I have a great deal of confidence in WTO.
Q89	2	I have quite a lot of confidence in WTO.
Q89	3	I have not very much confidence in WTO.
Q89	4	I have no confidence in WTO.
Q90	1	I prioritize effectiveness in international organizations.
Q90	2	I mostly prioritize effectiveness.
Q90	3	I somewhat prioritize effectiveness.
Q90	4	I lean towards effectiveness.
Q90	5	I believe in a balanced approach.
Q90	6	I lean towards democracy.
Q90	7	I somewhat prioritize democracy.
Q90	8	I mostly prioritize democracy.
Q90	9	I almost fully prioritize democracy.
Q90	10	I prioritize democracy above all.
Q91	1	I am from France.
Q91	2	I am from China.
Q91	3	I am from India.
Q92	1	I think IMF headquarters are in Washington DC
Q92	2	I believe IMF is based in London
Q92	3	I say IMF headquarters are in Geneva
Q93	1	I'm concerned about climate change.
Q93	2	I fight for human rights.
Q93	3	I oppose destroying historic monuments.
Q94	0	I don't belong to a church
Q94	1	I'm an inactive church member
Q94	2	I'm an active church member
Q95	0	I don't belong to a sports team.
Q95	1	I'm an inactive team member.
Q95	2	I'm an active team member.
Q96	0	I don't belong to any organization.
Q96	1	I'm an inactive member.
Q96	2	I'm an active member.
Q97	0	I'm not a labour union member
Q97	1	I'm an inactive union member
Q97	2	I'm an active union member
Q98	0	I'm not a member of a party
Q98	1	I'm an inactive party member
Q98	2	I'm an active party member
Q99	0	I don't belong to an environmental organization.
Q99	1	I'm an inactive environmental organization member.
Q99	2	I'm an active environmental organization member.
Q100	0	I'm not a member
Q100	1	I'm an inactive member
Q100	2	I'm an active member
Q101	0	I'm not a member
Q101	1	I'm an inactive member
Q101	2	I'm an active member
Q102	0	I don't belong to a consumer organization
Q102	1	I'm an inactive member
Q102	2	I'm an active member
Q103	0	I don't belong to a self-help group
Q103	1	I'm an inactive member
Q103	2	I'm an active member
Q104	0	I don't belong to a women's group
Q104	1	I'm an inactive member of a women's group
Q104	2	I'm an active member of a women's group
Q105	0	I don't belong to another organization
Q105	1	I'm an inactive member
Q105	2	I'm an active member
Q106	1	I believe incomes should be more equal.
Q106	2	I think incomes should be more equal.
Q106	3	I lean towards income equality.
Q106	4	I slightly favor income equality.
Q106	5	I prefer a balanced approach.
Q106	6	I support a middle ground.
Q106	7	I lean towards income differences.
Q106	8	I slightly favor income differences.
Q106	9	I believe in larger income differences.
Q106	10	I think larger differences are necessary.
Q107	1	I think private ownership should increase
Q107	2	I think private ownership should increase
Q107	3	I lean toward private ownership
Q107	4	I lean toward private ownership
Q107	5	I prefer a balanced approach
Q107	6	I prefer a balanced approach
Q107	7	I lean toward government ownership
Q107	8	I lean toward government ownership
Q107	9	I think government ownership should increase
Q107	10	I think government ownership should increase
Q108	1	I think government should provide for everyone
Q108	2	I think government should provide for everyone
Q108	3	I lean towards government responsibility
Q108	4	I lean towards government responsibility
Q108	5	I believe in a balanced approach
Q108	6	I believe in a balanced approach
Q108	7	I lean towards individual responsibility
Q108	8	I lean towards individual responsibility
Q108	9	I think people should provide for themselves
Q108	10	I think people should provide for themselves
Q109	1	I think competition is good.
Q109	2	I believe competition is good.
Q109	3	I lean toward competition being good.
Q109	4	I slightly think competition is good.
Q109	5	I see competition as balanced.
Q109	6	Competition is both good and bad to me.
Q109	7	I lean toward competition being harmful.
Q109	8	I slightly think competition is harmful.
Q109	9	I think competition is harmful.
Q109	10	I believe competition is harmful.
Q110	1	I believe hard work brings a better life
Q110	2	I believe hard work brings a better life
Q110	3	I lean towards hard work
Q110	4	I lean towards hard work
Q110	5	I think it's balanced
Q110	6	I think it's balanced
Q110	7	I lean towards luck and connections
Q110	8	I lean towards luck and connections
Q110	9	I think luck and connections matter more
Q110	10	I think luck and connections matter more
Q111	1	I prioritize protecting the environment.
Q111	2	I prioritize economic growth.
Q111	3	I have a different view.
Q113	1	I believe none are corrupt
Q113	2	I think few are corrupt
Q113	3	I believe most are corrupt
Q113	4	I think all are corrupt
Q114	1	I believe no executives are corrupt.
Q114	2	I think few executives are corrupt.
Q114	3	I believe most executives are corrupt.
Q114	4	I think all executives are corrupt.
Q115	1	I believe none are corrupt
Q115	2	I think few are corrupt
Q115	3	I believe most are corrupt
Q115	4	I think all are corrupt
Q116	1	I believe none are corrupt
Q116	2	I think few are corrupt
Q116	3	I believe most are corrupt
Q116	4	I think all are corrupt
Q117	1	I believe no journalists are corrupt.
Q117	2	I think few journalists are corrupt.
Q117	3	I believe most journalists are corrupt.
Q117	4	I think all journalists are corrupt.
Q118	1	I never pay bribes for services.
Q118	2	I rarely pay bribes for services.
Q118	3	I frequently pay bribes for services.
Q118	4	I always pay bribes for services.
Q119	0	I'm unsure
Q119	1	I think women are less corrupt
Q119	2	I think women are less corrupt
Q119	3	I don't think women are less corrupt
Q119	4	I think women are just as corrupt
Q120	1	I see no risk of accountability for bribery.
Q120	2	I think there's low risk of accountability.
Q120	3	I believe accountability risk is relatively low.
Q120	4	I perceive a moderate risk of accountability.
Q120	5	I think the risk of accountability is moderate.
Q120	6	I see a moderate level of accountability risk.
Q120	7	I believe the risk of accountability is high.
Q120	8	I think there's a high risk of accountability.
Q120	9	I perceive a very high risk of accountability.
Q120	10	I believe accountability risk is extremely high.
Q121	1	I think immigrants have a rather bad impact.
Q121	2	I think immigrants have a quite bad impact.
Q121	3	I think immigrants have a neutral impact.
Q121	4	I think immigrants have a quite good impact.
Q121	5	I think immigrants have a very good impact.
Q122	0	I don't think immigrants fill useful jobs.
Q122	1	I'm unsure about immigrants' job roles.
Q122	2	I believe immigrants fill useful jobs.
Q123	0	I don't think immigrants strengthen diversity.
Q123	1	I'm unsure about immigrants' impact.
Q123	2	I believe immigrants strengthen diversity.
Q124	0	I don't think immigrants increase crime
Q124	1	I'm unsure about immigrants and crime
Q124	2	I believe immigrants increase crime
Q125	0	I don't think we should give asylum
Q125	1	I'm unsure about asylum for refugees
Q125	2	I believe we should give asylum
Q126	0	I don't think immigrants increase terrorism risks.
Q126	1	I'm unsure about immigrants and terrorism.
Q126	2	I believe immigrants increase terrorism risks.
Q127	0	I don't think the country should help
Q127	1	I'm unsure about helping the poor
Q127	2	I think the country should help
Q128	0	I don't think immigrants increase unemployment.
Q128	1	I'm unsure about immigrants' impact on unemployment.
Q128	2	I believe immigrants increase unemployment.
Q129	0	I don't think immigrants lead to social conflict.
Q129	1	I'm unsure about immigrants causing social conflict.
Q129	2	I believe immigrants lead to social conflict.
Q130	1	I welcome anyone who wants to come work here.
Q130	2	I think jobs should be available before letting people come.
Q130	3	I believe strict limits on foreigners are necessary.
Q130	4	I don't think people from other countries should come here.
Q131	1	I feel very secure
Q131	2	I feel quite secure
Q131	3	I don't feel very secure
Q131	4	I feel not at all secure
Q132	1	Robberies occur very frequently in my neighborhood.
Q132	2	Robberies happen quite frequently in my area.
Q132	3	Robberies don't happen frequently here.
Q132	4	Robberies never happen in my neighborhood.
Q133	1	I see alcohol consumed in streets very frequently.
Q133	2	I see alcohol consumed in streets quite frequently.
Q133	3	I rarely see alcohol consumed in streets.
Q133	4	I never see alcohol consumed in streets.
Q134	1	Police interfere with my life very frequently.
Q134	2	Police interfere with my life quite frequently.
Q134	3	Police rarely interfere with my life.
Q134	4	Police never interfere with my life.
Q135	1	I see racist behavior very frequently
Q135	2	I see racist behavior quite frequently
Q135	3	I rarely see racist behavior
Q135	4	I never see racist behavior
Q136	1	I see drug sales in my neighborhood very frequently.
Q136	2	I see drug sales in my neighborhood quite frequently.
Q136	3	I rarely see drug sales in my neighborhood.
Q136	4	I never see drug sales in my neighborhood.
Q137	1	I see street violence often.
Q137	2	I see fights quite often.
Q137	3	I rarely see fights.
Q137	4	I never see fights.
Q138	1	I experience sexual harassment very frequently
Q138	2	I see sexual harassment quite often
